nombre,lat,lng
Charco de San gines,28.961993,-13.549121
El Bosquecillo,29.126094,-13.522021
El Golfo,28.960823,-13.829832
El jardin del cactus,29.080439,-13.476347
El mirador del rio,29.21375,-13.481047
Jameos del Agua,29.158,-13.432
La Cueva de los verdes,29.16076,-13.439671
La Geria,28.968864,-13.714417
La Graciosa,29.274868,-13.515803
Lago verde,28.960823,-13.829832
Las Grietas,28.974215,-13.634042
Los Hervideros,28.954141,-13.832062
Piscinas Naturales,29.145157,-13.446248
Teguise(villa),29.057611,-13.559244
Timanfaya,29.015478,-13.782784
Caleton Blanco,29.216036,-13.438289
Calitas,28.919668,-13.649805
Famara,29.115383,-13.557022
Flamingo,28.857464,-13.841246
Jabillo,28.993224,-13.489621
las conchas,29.274868,-13.515803
Papagayo,28.842,-13.787
Playa Chica,28.91974,-13.664763
Playa Fariones,28.91974,-13.664763
Playa Jabalillo,28.992679,-13.489975
Playa mujeres,28.852827,-13.792615
Playa Risco,29.208699,-13.496886
